60 3
1	100.00	10000.00
1	115.25	13283.54
1	130.51	17032.46
1	145.76	21246.77
1	161.02	25926.46
1	176.27	31071.53
1	191.53	36681.99
1	206.78	42757.83
1	222.03	49299.05
1	237.29	56305.66
1	252.54	63777.65
1	267.80	71715.02
1	283.05	80117.78
1	298.31	88985.92
1	313.56	98319.45
1	328.81	108118.36
1	344.07	118382.65
1	359.32	129112.32
1	374.58	140307.38
1	389.83	151967.83
1	405.08	164093.65
1	420.34	176684.86
1	435.59	189741.45
1	450.85	203263.43
1	466.10	217250.79
1	481.36	231703.53
1	496.61	246621.66
1	511.86	262005.17
1	527.12	277854.06
1	542.37	294168.34
1	557.63	310948.00
1	572.88	328193.05
1	588.14	345903.48
1	603.39	364079.29
1	618.64	382720.48
1	633.90	401827.06
1	649.15	421399.02
1	664.41	441436.37
1	679.66	461939.10
1	694.92	482907.21
1	710.17	504340.71
1	725.42	526239.59
1	740.68	548603.85
1	755.93	571433.50
1	771.19	594728.53
1	786.44	618488.94
1	801.69	642714.74
1	816.95	667405.92
1	832.20	692562.48
1	847.46	718184.43
1	862.71	744271.76
1	877.97	770824.48
1	893.22	797842.57
1	908.47	825326.06
1	923.73	853274.92
1	938.98	881689.17
1	954.24	910568.80
1	969.49	939913.82
1	984.75	969724.22
1	1000.00	1000000.00
